Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
United Kingdom,291588,41213.0,1269,249106.0,1007,245,12,14.13,0.44,3247.68,281270,10318,3.67,Europe
Uruguay,847,23.0,758,66.0,1,0,4,2.72,89.49,3.03,828,19,2.29,Americas
Uzbekistan,4623,19.0,3532,1072.0,103,1,73,0.41,76.4,0.54,3843,780,20.3,Europe
Venezuela,2738,23.0,487,2228.0,106,0,0,0.84,17.79,4.72,1952,786,40.27,Americas
Vietnam,332,0.0,320,12.0,0,0,4,0.0,96.39,0.0,328,4,1.22,Western Pacific
West Bank and Gaza,485,3.0,410,72.0,4,0,6,0.62,84.54,0.73,457,28,6.13,Eastern Mediterranean
Western Sahara,9,1.0,6,2.0,0,0,0,11.11,66.67,16.67,9,0,0.0,Africa
Yemen,560,0.0,0,560.0,36,0,0,0.0,0.0,0.0,419,141,33.65,Eastern Mediterranean
Zambia,1200,10.0,912,278.0,0,0,0,0.83,76.0,1.1,1089,111,10.19,Africa
Zimbabwe,320,4.0,49,267.0,6,0,3,1.25,15.31,8.16,222,98,44.14,Africa
